Alpha,Beta,MAPprobability,Precision
2.0,1.0,0.999,18.0
2.9,1.0,0.999,25.69965517241379
2.71,2.0,0.631,23.3710721402214
3.5389999999999997,1.9,0.738,28.328421724691783
4.2851,1.81,0.802,33.984482046983956
3.95659,2.729,0.631,31.815013148654995
3.6609309999999997,3.5561,0.51,32.87506031606062
3.3948378999999997,4.30049,0.42,35.26981970843652
3.1553541099999998,4.970441,0.352,38.42018226243613
2.939818699,5.5733969000000005,0.298,42.07984039758553
3.7458368291,5.116057210000001,0.4,40.413753680339795
3.47125314619,5.704451489000001,0.34400000000000003,43.26564328601306
4.224127831571,5.234006340100001,0.432,42.31495209688554
3.9017150484139003,5.810605706090001,0.376,44.571027572781944
3.6115435435725103,6.329545135481001,0.329,47.30021092180581
3.3503891892152593,6.796590621932901,0.28800000000000003,50.40161313832201
3.1153502702937335,7.216931559739611,0.254,53.808437911161974
2.9038152432643605,7.5952384037656495,0.224,57.47143204378815
2.7134337189379245,7.935714563389085,0.198,61.35057905278265
2.542090347044132,8.242143107050175,0.176,65.41069548128101
2.3878813123397187,8.51792879634516,0.156,69.61904674003148
2.2490931811057466,8.766135916710644,0.139,73.944091171102
3.124183862995172,7.989522325039579,0.233,59.942859801968275
2.911765476695655,8.29057009253562,0.20800000000000002,63.43359602486644
2.720588929026089,8.561513083282058,0.185,67.11804433251505
2.5485300361234806,8.805361774953854,0.166,70.9669820089234
2.3936770325111323,9.024825597458468,0.148,74.95199127503653
2.2543093292600194,9.222343037712623,0.132,79.04488058210644
2.1288783963340174,9.40010873394136,0.11800000000000001,83.21747607884708
2.0159905567006158,9.560097860547224,0.106,87.4416655287601
1.914391501030554,9.704088074492502,0.095,91.68961301162318
1.8229523509274985,9.833679267043252,0.085,95.93408262479643
1.7406571158347488,9.950311340338928,0.076,100.14882135064511
2.6665914042512737,9.055280206305035,0.171,72.39133077589716
2.4999322638261465,9.24975218567453,0.154,76.1190753061104
3.349939037443532,8.424776967107078,0.24,62.756226265799384
3.114945133699179,8.68229927039637,0.216,65.85556270796135
2.903450620329261,8.914069343356733,0.194,69.16179230749515
3.713105558296335,8.12266240902106,0.276,59.618225220594276
3.4417950024667014,8.410396168118954,0.248,62.369608702481685
3.197615502220031,8.669356551307057,0.223,65.36467276169662
2.977853951998028,8.902420896176352,0.2,68.57512203169148
3.7800685567982253,8.112178806558717,0.281,59.459233566230004
3.5020617011184028,8.400960925902847,0.253,62.137420287794946
3.2518555310065627,8.660864833312562,0.227,65.06495548970804
4.0266699779059065,7.894778349981306,0.305,57.76745816212908
3.724002980115316,8.205300514983175,0.274,60.2144597189864
3.4516026821037844,8.484770463484857,0.247,62.93560512123436
4.206442413893406,7.736293417136372,0.322,56.726482961050195
3.8857981725040656,8.062664075422735,0.29,59.00426719982853
4.597218355253659,7.356397667880462,0.361,54.7304843699017
4.237496519728293,7.7207579010924166,0.325,56.638636762191325
4.913746867755464,7.048682110983175,0.393,53.55554336315573
4.522372180979918,7.443813899884858,0.353,55.152086378426354
5.170134962881926,6.799432509896372,0.418,52.85765106732942
4.753121466593734,7.2194892589067345,0.376,54.190071387288334
5.377809319934361,6.597540333016061,0.439,52.44547483770398
4.9400283879409255,7.037786299714456,0.395,53.5539153540338
5.546025549146833,6.43400766974301,0.456,52.20696038805974
5.09142299423215,6.890606902768709,0.41000000000000003,53.12595477598508
4.682280694808934,7.3015462124918376,0.369,54.540798072541214
5.314052625328042,6.671391591242654,0.432,52.61660186165519
4.882647362795238,7.104252432118389,0.389,53.79544384655438
4.494382626515714,7.49382718890655,0.35000000000000003,55.422262297485695
5.144944363864143,6.844444470015896,0.41500000000000004,53.022954182543955
4.7304499274777285,7.260000023014307,0.373,54.38211368231041
5.357404934729956,6.634000020712876,0.436,52.561326563594854
4.9216644412569615,7.0706000186415885,0.392,53.69316150019702
5.529497997131265,6.46354001677743,0.453,52.289318614654185
5.076548197418139,6.917186015099687,0.40800000000000003,53.22857642071836
5.668893377676325,6.325467413589719,0.467,52.133661289268986
5.202004039908692,6.792920672230747,0.42,52.91046672068626
4.781803635917823,7.213628605007672,0.378,54.20970153063944
4.4036232723260404,7.592265744506905,0.341,55.93573035022171
5.063260945093436,6.933039170056215,0.406,53.279533279351924
4.656934850584093,7.339735253050594,0.366,54.72338716616038
5.291241365525684,6.705761727745535,0.429,52.7209313029903
4.862117228973116,7.135185554970981,0.386,53.92495334290935
4.475905506075804,7.521666999473883,0.34800000000000003,55.571741079298015
