TrialIndex,SessionIndex,TargetRule,Choice,CuePosition,Reward,RuleChangeTrials,NewSessionTrials
1,15,go right,left,right,no,0,0
2,15,go right,left,right,no,0,0
3,15,go right,right,right,yes,0,0
4,15,go right,left,right,no,0,0
5,15,go right,left,right,no,0,0
6,15,go right,right,right,yes,0,0
7,15,go right,right,right,yes,0,0
8,15,go right,right,right,yes,0,0
9,15,go right,right,right,yes,0,0
10,16,go right,right,right,yes,0,1
11,16,go right,left,right,no,0,0
12,16,go right,right,left,yes,0,0
13,16,go right,left,left,no,0,0
14,16,go right,right,right,yes,0,0
15,16,go right,right,right,yes,0,0
16,16,go right,right,left,yes,0,0
17,16,go right,right,left,yes,0,0
18,16,go right,right,right,yes,0,0
19,16,go right,right,right,yes,0,0
20,16,go right,right,right,yes,0,0
21,16,go right,right,left,yes,0,0
22,16,go right,right,left,yes,0,0
23,17,go to the lit arm,left,left,yes,1,1
24,17,go to the lit arm,right,right,yes,0,0
25,17,go to the lit arm,right,left,no,0,0
26,17,go to the lit arm,right,right,yes,0,0
27,17,go to the lit arm,right,right,yes,0,0
28,17,go to the lit arm,right,right,yes,0,0
29,17,go to the lit arm,right,left,no,0,0
30,17,go to the lit arm,right,left,no,0,0
31,17,go to the lit arm,right,right,yes,0,0
32,17,go to the lit arm,right,left,no,0,0
33,17,go to the lit arm,right,left,no,0,0
34,17,go to the lit arm,left,right,no,0,0
35,17,go to the lit arm,right,left,no,0,0
36,17,go to the lit arm,left,left,yes,0,0
37,17,go to the lit arm,right,right,yes,0,0
38,17,go to the lit arm,right,right,yes,0,0
39,17,go to the lit arm,left,right,no,0,0
40,17,go to the lit arm,right,left,no,0,0
41,17,go to the lit arm,right,right,yes,0,0
42,17,go to the lit arm,right,left,no,0,0
43,17,go to the lit arm,left,right,no,0,0
44,17,go to the lit arm,right,left,no,0,0
45,17,go to the lit arm,right,right,yes,0,0
46,17,go to the lit arm,left,left,yes,0,0
47,18,go to the lit arm,right,right,yes,0,1
48,18,go to the lit arm,right,left,no,0,0
49,18,go to the lit arm,left,left,yes,0,0
50,18,go to the lit arm,right,left,no,0,0
51,18,go to the lit arm,left,right,no,0,0
52,18,go to the lit arm,right,right,yes,0,0
53,18,go to the lit arm,left,left,yes,0,0
54,18,go to the lit arm,right,right,yes,0,0
55,18,go to the lit arm,left,right,no,0,0
56,18,go to the lit arm,right,left,no,0,0
57,18,go to the lit arm,left,left,yes,0,0
58,18,go to the lit arm,right,left,no,0,0
59,18,go to the lit arm,left,right,no,0,0
60,18,go to the lit arm,right,right,yes,0,0
61,18,go to the lit arm,right,right,yes,0,0
62,18,go to the lit arm,left,right,no,0,0
63,18,go to the lit arm,right,left,no,0,0
64,18,go to the lit arm,right,right,yes,0,0
65,18,go to the lit arm,left,left,yes,0,0
66,18,go to the lit arm,right,left,no,0,0
67,18,go to the lit arm,left,left,yes,0,0
68,18,go to the lit arm,right,right,yes,0,0
69,18,go to the lit arm,left,right,no,0,0
70,18,go to the lit arm,right,left,no,0,0
71,18,go to the lit arm,left,right,no,0,0
72,18,go to the lit arm,right,left,no,0,0
73,18,go to the lit arm,right,right,yes,0,0
74,18,go to the lit arm,right,right,yes,0,0
